number 55779 length of nuber runs184
number 1 length of nuber runs 0
number 2 length of nuber runs 1
number 3 length of nuber runs 7
number 4 length of nuber runs 2
number 5 length of nuber runs 5
number 6 length of nuber runs 8
number 7 length of nuber runs 16
number 8 length of nuber runs 3
number 9 length of nuber runs 19
number 10 length of nuber runs 6
number 11 length of nuber runs 14
number 12 length of nuber runs 9
number 13 length of nuber runs 9
number 14 length of nuber runs 17
number 15 length of nuber runs 17
number 16 length of nuber runs 4
number 17 length of nuber runs 12
number 18 length of nuber runs 20
number 19 length of nuber runs 20
number 20 length of nuber runs 7
number 21 length of nuber runs 7
number 22 length of nuber runs 15
number 23 length of nuber runs 15
number 24 length of nuber runs 10
number 25 length of nuber runs 23
number 26 length of nuber runs 10
number 27 length of nuber runs 111
number 28 length of nuber runs 18
number 29 length of nuber runs 18
number 30 length of nuber runs 18
number 31 length of nuber runs 106
number 32 length of nuber runs 5
number 33 length of nuber runs 26
number 34 length of nuber runs 13
number 35 length of nuber runs 13
number 36 length of nuber runs 21
number 37 length of nuber runs 21
number 38 length of nuber runs 21
number 39 length of nuber runs 34
number 40 length of nuber runs 8
number 41 length of nuber runs 109
number 42 length of nuber runs 8
number 43 length of nuber runs 29
number 44 length of nuber runs 16
number 45 length of nuber runs 16
number 46 length of nuber runs 16
number 47 length of nuber runs 104
number 48 length of nuber runs 11
number 49 length of nuber runs 24
number 50 length of nuber runs 24
number 51 length of nuber runs 24
number 52 length of nuber runs 11
number 53 length of nuber runs 11
number 54 length of nuber runs 112
number 55 length of nuber runs 112
number 56 length of nuber runs 19
number 57 length of nuber runs 32
number 58 length of nuber runs 19
number 59 length of nuber runs 32
number 60 length of nuber runs 19
number 61 length of nuber runs 19
number 62 length of nuber runs 107
number 63 length of nuber runs 107
number 64 length of nuber runs 6
number 65 length of nuber runs 27
number 66 length of nuber runs 27
number 67 length of nuber runs 27
number 68 length of nuber runs 14
number 69 length of nuber runs 14
number 70 length of nuber runs 14
number 71 length of nuber runs 102
number 72 length of nuber runs 22
number 73 length of nuber runs 115
number 74 length of nuber runs 22
number 75 length of nuber runs 14
number 76 length of nuber runs 22
number 77 length of nuber runs 22
number 78 length of nuber runs 35
number 79 length of nuber runs 35
number 80 length of nuber runs 9
number 81 length of nuber runs 22
number 82 length of nuber runs 110
number 83 length of nuber runs 110
number 84 length of nuber runs 9
number 85 length of nuber runs 9
number 86 length of nuber runs 30
number 87 length of nuber runs 30
number 88 length of nuber runs 17
number 89 length of nuber runs 30
number 90 length of nuber runs 17
number 91 length of nuber runs 92
number 92 length of nuber runs 17
number 93 length of nuber runs 17
number 94 length of nuber runs 105
number 95 length of nuber runs 105
number 96 length of nuber runs 12
number 97 length of nuber runs 118
number 98 length of nuber runs 25
number 99 length of nuber runs 25
number 100 length of nuber runs 25
number 101 length of nuber runs 25
number 102 length of nuber runs 25
number 103 length of nuber runs 87
number 104 length of nuber runs 12
number 105 length of nuber runs 38
number 106 length of nuber runs 12
number 107 length of nuber runs 100
number 108 length of nuber runs 113
number 109 length of nuber runs 113
number 110 length of nuber runs 113
number 111 length of nuber runs 69
number 112 length of nuber runs 20
number 113 length of nuber runs 12
number 114 length of nuber runs 33
number 115 length of nuber runs 33
number 116 length of nuber runs 20
number 117 length of nuber runs 20
number 118 length of nuber runs 33
number 119 length of nuber runs 33
number 120 length of nuber runs 20
number 121 length of nuber runs 95
number 122 length of nuber runs 20
number 123 length of nuber runs 46
number 124 length of nuber runs 108
number 125 length of nuber runs 108
number 126 length of nuber runs 108
number 127 length of nuber runs 46
number 128 length of nuber runs 7
number 129 length of nuber runs 121
number 130 length of nuber runs 28
number 131 length of nuber runs 28
number 132 length of nuber runs 28
number 133 length of nuber runs 28
number 134 length of nuber runs 28
number 135 length of nuber runs 41
number 136 length of nuber runs 15
number 137 length of nuber runs 90
number 138 length of nuber runs 15
number 139 length of nuber runs 41
number 140 length of nuber runs 15
number 141 length of nuber runs 15
number 142 length of nuber runs 103
number 143 length of nuber runs 103
number 144 length of nuber runs 23
number 145 length of nuber runs 116
number 146 length of nuber runs 116
number 147 length of nuber runs 116
number 148 length of nuber runs 23
number 149 length of nuber runs 23
number 150 length of nuber runs 15
number 151 length of nuber runs 15
number 152 length of nuber runs 23
number 153 length of nuber runs 36
number 154 length of nuber runs 23
number 155 length of nuber runs 85
number 156 length of nuber runs 36
number 157 length of nuber runs 36
number 158 length of nuber runs 36
number 159 length of nuber runs 54
number 160 length of nuber runs 10
number 161 length of nuber runs 98
number 162 length of nuber runs 23
number 163 length of nuber runs 23
number 164 length of nuber runs 111
number 165 length of nuber runs 111
number 166 length of nuber runs 111
number 167 length of nuber runs 67
number 168 length of nuber runs 10
number 169 length of nuber runs 49
number 170 length of nuber runs 10
number 171 length of nuber runs 124
number 172 length of nuber runs 31
number 173 length of nuber runs 31
number 174 length of nuber runs 31
number 175 length of nuber runs 80
number 176 length of nuber runs 18
number 177 length of nuber runs 31
number 178 length of nuber runs 31
number 179 length of nuber runs 31
number 180 length of nuber runs 18
number 181 length of nuber runs 18
number 182 length of nuber runs 93
number 183 length of nuber runs 93
number 184 length of nuber runs 18
number 185 length of nuber runs 44
number 186 length of nuber runs 18
number 187 length of nuber runs 44
number 188 length of nuber runs 106
number 189 length of nuber runs 106
number 190 length of nuber runs 106
number 191 length of nuber runs 44
number 192 length of nuber runs 13
number 193 length of nuber runs 119
number 194 length of nuber runs 119
number 195 length of nuber runs 119
number 196 length of nuber runs 26
number 197 length of nuber runs 26
number 198 length of nuber runs 26
number 199 length of nuber runs 119
number 200 length of nuber runs 26
number 201 length of nuber runs 18
number 202 length of nuber runs 26
number 203 length of nuber runs 39
number 204 length of nuber runs 26
number 205 length of nuber runs 26
number 206 length of nuber runs 88
number 207 length of nuber runs 88
number 208 length of nuber runs 13
number 209 length of nuber runs 39
number 210 length of nuber runs 39
number 211 length of nuber runs 39
number 212 length of nuber runs 13
number 213 length of nuber runs 13
number 214 length of nuber runs 101
number 215 length of nuber runs 101
number 216 length of nuber runs 114
number 217 length of nuber runs 26
number 218 length of nuber runs 114
number 219 length of nuber runs 52
number 220 length of nuber runs 114
number 221 length of nuber runs 114
number 222 length of nuber runs 70
number 223 length of nuber runs 70
number 224 length of nuber runs 21
number 225 length of nuber runs 52
number 226 length of nuber runs 13
number 227 length of nuber runs 13
number 228 length of nuber runs 34
number 229 length of nuber runs 34
number 230 length of nuber runs 34
number 231 length of nuber runs 127
number 232 length of nuber runs 21
number 233 length of nuber runs 83
number 234 length of nuber runs 21
number 235 length of nuber runs 127
number 236 length of nuber runs 34
number 237 length of nuber runs 34
number 238 length of nuber runs 34
number 239 length of nuber runs 52
number 240 length of nuber runs 21
number 241 length of nuber runs 21
number 242 length of nuber runs 96
number 243 length of nuber runs 96
number 244 length of nuber runs 21
number 245 length of nuber runs 21
number 246 length of nuber runs 47
number 247 length of nuber runs 47
number 248 length of nuber runs 109
number 249 length of nuber runs 47
number 250 length of nuber runs 109
number 251 length of nuber runs 65
number 252 length of nuber runs 109
number 253 length of nuber runs 109
number 254 length of nuber runs 47
number 255 length of nuber runs 47
number 256 length of nuber runs 8
number 257 length of nuber runs 122
number 258 length of nuber runs 122
number 259 length of nuber runs 122
number 260 length of nuber runs 29
number 261 length of nuber runs 29
number 262 length of nuber runs 29
number 263 length of nuber runs 78
number 264 length of nuber runs 29
number 265 length of nuber runs 122
number 266 length of nuber runs 29
number 267 length of nuber runs 21
number 268 length of nuber runs 29
number 269 length of nuber runs 29
number 270 length of nuber runs 42
number 271 length of nuber runs 42
number 272 length of nuber runs 16
number 273 length of nuber runs 29
number 274 length of nuber runs 91
number 275 length of nuber runs 91
number 276 length of nuber runs 16
number 277 length of nuber runs 16
number 278 length of nuber runs 42
number 279 length of nuber runs 42
number 280 length of nuber runs 16
number 281 length of nuber runs 42
number 282 length of nuber runs 16
number 283 length of nuber runs 60
number 284 length of nuber runs 104
number 285 length of nuber runs 104
number 286 length of nuber runs 104
number 287 length of nuber runs 42
number 288 length of nuber runs 24
number 289 length of nuber runs 29
number 290 length of nuber runs 117
number 291 length of nuber runs 117
number 292 length of nuber runs 117
number 293 length of nuber runs 117
number 294 length of nuber runs 117
number 295 length of nuber runs 55
number 296 length of nuber runs 24
number 297 length of nuber runs 73
number 298 length of nuber runs 24
number 299 length of nuber runs 117
number 300 length of nuber runs 16
number 301 length of nuber runs 16
number 302 length of nuber runs 16
number 303 length of nuber runs 42
number 304 length of nuber runs 24
number 305 length of nuber runs 37
number 306 length of nuber runs 37
number 307 length of nuber runs 37
number 308 length of nuber runs 24
number 309 length of nuber runs 24
number 310 length of nuber runs 86
number 311 length of nuber runs 86
number 312 length of nuber runs 37
number 313 length of nuber runs 130
number 314 length of nuber runs 37
number 315 length of nuber runs 37
number 316 length of nuber runs 37
number 317 length of nuber runs 37
number 318 length of nuber runs 55
number 319 length of nuber runs 55
number 320 length of nuber runs 11
number 321 length of nuber runs 24
number 322 length of nuber runs 99
number 323 length of nuber runs 99
number 324 length of nuber runs 24
number 325 length of nuber runs 24
number 326 length of nuber runs 24
number 327 length of nuber runs 143
number 328 length of nuber runs 112
number 329 length of nuber runs 50
number 330 length of nuber runs 112
number 331 length of nuber runs 24
number 332 length of nuber runs 112
number 333 length of nuber runs 112
number 334 length of nuber runs 68
number 335 length of nuber runs 68
number 336 length of nuber runs 11
number 337 length of nuber runs 112
number 338 length of nuber runs 50
number 339 length of nuber runs 50
number 340 length of nuber runs 11
number 341 length of nuber runs 11
number 342 length of nuber runs 125
number 343 length of nuber runs 125
number 344 length of nuber runs 32
number 345 length of nuber runs 125
number 346 length of nuber runs 32
number 347 length of nuber runs 125
number 348 length of nuber runs 32
number 349 length of nuber runs 32
number 350 length of nuber runs 81
number 351 length of nuber runs 81
number 352 length of nuber runs 19
number 353 length of nuber runs 125
number 354 length of nuber runs 32
number 355 length of nuber runs 32
number 356 length of nuber runs 32
number 357 length of nuber runs 32
number 358 length of nuber runs 32
number 359 length of nuber runs 50
number 360 length of nuber runs 19
number 361 length of nuber runs 45
number 362 length of nuber runs 19
number 363 length of nuber runs 45
number 364 length of nuber runs 94
number 365 length of nuber runs 94
number 366 length of nuber runs 94
number 367 length of nuber runs 45
number 368 length of nuber runs 19
number 369 length of nuber runs 19
number 370 length of nuber runs 45
number 371 length of nuber runs 45
number 372 length of nuber runs 19
number 373 length of nuber runs 19
number 374 length of nuber runs 45
number 375 length of nuber runs 45
number 376 length of nuber runs 107
number 377 length of nuber runs 63
number 378 length of nuber runs 107
number 379 length of nuber runs 58
number 380 length of nuber runs 107
number 381 length of nuber runs 107
number 382 length of nuber runs 45
number 383 length of nuber runs 45
number 384 length of nuber runs 14
number 385 length of nuber runs 32
number 386 length of nuber runs 120
number 387 length of nuber runs 120
number 388 length of nuber runs 120
number 389 length of nuber runs 120
number 390 length of nuber runs 120
number 391 length of nuber runs 120
number 392 length of nuber runs 27
number 393 length of nuber runs 58
number 394 length of nuber runs 27
number 395 length of nuber runs 76
number 396 length of nuber runs 27
number 397 length of nuber runs 27
number 398 length of nuber runs 120
number 399 length of nuber runs 120
number 400 length of nuber runs 27
number 401 length of nuber runs 19
number 402 length of nuber runs 19
number 403 length of nuber runs 19
number 404 length of nuber runs 27
number 405 length of nuber runs 27
number 406 length of nuber runs 40
number 407 length of nuber runs 40
number 408 length of nuber runs 27
number 409 length of nuber runs 40
number 410 length of nuber runs 27
number 411 length of nuber runs 133
number 412 length of nuber runs 89
number 413 length of nuber runs 89
